BID Name:,Full-time staff,Part-time staff,BID provides supplemental sanitation services,Type of sanitation services,Types of duties assigned to sanitation workers,Hours logged by sanitation workers,Incidents of graffiti removed,Trash bags collected,Trash and recycling receptacles serviced,BID provides supplemental public safety services,Type of public safety services,Duties assigned to public safety personnel,Hours logged by public safety officers,Interactions with public safety officers,BID provides supplemental streetscape and beautification services,Public spaces maintained,Tree pits maintained,Banners maintained,Public art installations sponsored,BID has holiday lighting program,Communication channels used,Marketing materials distributed,Public events coordinated,Estimated attendees to public events coordinated,Allocates staff salaries,Assessment revenue,Contract revenue,Contributions,Government grants,Program service revenue,Interest income,Miscellaneous income,Total support and revenue,Sanitation expenses,Public safety expenses,Other program expenses,Salaries,Outside contractor expenses,Insurance costs,Rent and utilities,Supplies and equipment costs,Capital improvement expenses,Total expenses
Fulton Area Business (FAB) Alliance,2.0,1,True,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7650.0,1200.0,61000.0,100.0,True,Both or Other (please explain),Coordination with NYPD,165.0,,True,4.0,175.0,41.0,1.0,True,"Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",64010.0,28.0,4487.0,True,400000,,600.0,117000.0,,,,533372,182810.0,5358.0,,23379.0,4500.0,3761,12494.0,534.0,,512647
Fulton Mall Improvement Association,7.0,0,True,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,36443.0,168.0,32256.0,113.0,True,Contracted,Monitoring security cameras; Street patrol; Coordination with NYPD,20800.0,9065.0,True,2.0,145.0,49.0,,True,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",27900.0,15.0,5000.0,True,2004500,,,,21505.0,378.0,,2029883,587432.0,540260.0,,73267.0,45050.0,169083,21125.0,15428.0,,2127763
Garment District,16.0,3,True,Both or Other (please explain),Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,97122.0,3744.0,123004.0,121.0,True,In-house,Street patrol; Coordination with NYPD,57080.0,130056.0,True,5.0,115.0,101.0,16.0,True,"Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Flyers; Email bulletins; Social media",52600.0,18.0,1000000.0,True,8800000,,,,177643.0,,,8977643,3258550.0,1724569.0,67709.0,1574357.0,,144427,456416.0,51835.0,,8997751
Gateway JFK,1.0,0,False,,,,,,,False,,,,,False,,,,,False,Direct mailings; Door-to-door visits; Email bulletins,2850.0,1.0,150.0,True,500000,,,,,,,500000,,,,40000.0,77000.0,13200,9000.0,7000.0,,155000
Graham Avenue,1.0,3,True,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,2720.0,50.0,20800.0,45.0,True,In-house,Traffic mitigation; Coordination with NYPD,365.0,,True,1.0,28.0,26.0,1.0,True,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",1000.0,37.0,20000.0,False,137638,,667.0,34588.0,4500.0,,2265.0,193400,58321.0,,7786.0,56285.0,7059.0,4915,20847.0,536.0,,174907
Grand Central Partnership,27.0,4,True,Both or Other (please explain),Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal,106606.0,1334.0,185053.0,290.0,True,Both or Other (please explain),Crime prevention workshops; Street patrol; Traffic mitigation; Coordination with NYPD,62906.0,284840.0,True,,224.0,200.0,2.0,True,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media",17512.0,4.0,7500.0,True,12709372,,,,246163.0,186374.0,421891.0,13563800,3449795.0,2558851.0,2233238.0,1094913.0,60805.0,39136,426132.0,26415.0,,13562738
Grand Street,2.0,1,True,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Gum Removal,2800.0,360.0,5300.0,12.0,False,,,,,True,,39.0,27.0,,True,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",18060.0,9.0,4500.0,True,226460,,,39451.0,433.0,112.0,39275.0,305731,75765.0,,48719.0,47261.0,5773.0,709,6130.0,2714.0,,320595
Hudson Square Connection,7.0,4,False,,,,,,,False,,,,,True,6.0,250.0,50.0,3.0,True,"Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",3250.0,35.0,2000.0,True,2500000,,,,19532.0,19743.0,,2539275,,,106580.0,89756.0,108576.0,17734,112527.0,29429.0,1686481.0,4026811
Hudson Yards/Hells Kitchen Alliance,5.0,3,True,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,8760.0,4425.0,46500.0,73.0,True,Contracted,Street patrol,2920.0,,True,5.0,200.0,40.0,3.0,True,"Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Social media; LinkNYC advertising (more info)",1500.0,15.0,800.0,True,1300000,38500.0,261929.0,22000.0,47800.0,1993.0,4956.0,1677178,370810.0,80241.0,,408100.0,44899.0,50469,69948.0,50650.0,121279.0,1458650
Jamaica Center,2.0,1,True,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,17520.0,16200.0,114000.0,100.0,False,,,,,True,1.0,,52.0,,True,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",5150.0,10.0,1000.0,False,917500,,,19999.0,4260.0,672.0,650.0,943081,371370.0,,,128726.0,84746.0,186047,45770.0,11281.0,10949.0,911783
Jerome-Gun Hill,0.0,1,True,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal,2968.0,520.0,65000.0,63.0,True,Both or Other (please explain),Monitoring security cameras; Coordination with NYPD,,15.0,True,1.0,121.0,,1.0,True,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Door-to-door visits; Flyers; Email bulletins; Social media",1850.0,12.0,5000.0,False,259000,23361.0,,,,,,302361,115630.0,93.0,40830.0,29000.0,10284.0,7743,140.0,1500.0,,274360
